"";"V1"
"778";"Dohh"
"779";"Dok2"
"780";"Dok3"
"781";"Donson"
"782";"Dpep2"
"783";"Dph3"
"784";"Dpp4"
"785";"Dpy19l1"
"786";"Dpy30"
"787";"Dpysl2"
"788";"Dqx1"
"789";"Drosha"
"790";"Dstn"
"791";"Dtd1"
"792";"Dtnbp1"
"793";"Dtwd1"
"794";"Dtymk"
"795";"Dus1l"
"796";"Dus2"
"797";"Dusp1"
"798";"Dusp2"
"799";"Dusp3"
"800";"Dusp5"
"801";"Dusp6"
"802";"Dut"
"803";"Dynll1"
"804";"Dynlt1a"
"805";"Dyrk3"
"806";"E2f1"
"807";"E2f4"
"808";"Eaf2"
"809";"Ear1"
"810";"Ear2"
"811";"Ebf1"
"812";"Ebna1bp2"
"813";"Ecsit"
"814";"Edem1"
"815";"Edem2"
"816";"Eef1a1"
"817";"Eef1b2"
"818";"Eef1d"
"819";"Eef1e1"
"820";"Eef1g"
"821";"Eef2kmt"
"822";"Efcc1"
"823";"Egfl7"
"824";"Egfl8"
"825";"Egln3"
"826";"Egr1"
"827";"Ehd1"
"828";"Ehd3"
"829";"Ehd4"
"830";"Eif1"
"831";"Eif1a"
"832";"Eif1ad"
"833";"Eif1ax"
"834";"Eif2b1"
"835";"Eif2b3"
"836";"Eif2b4"
"837";"Eif2s1"
"838";"Eif2s2"
"839";"Eif2s3x"
"840";"Eif3a"
"841";"Eif3b"
"842";"Eif3c"
"843";"Eif3d"
"844";"Eif3e"
"845";"Eif3g"
"846";"Eif3i"
"847";"Eif3j1"
"848";"Eif3m"
"849";"Eif4a1"
"850";"Eif4e2"
"851";"Eif4ebp1"
"852";"Eif4g1"
"853";"Eif4g2"
"854";"Eif5"
"855";"Eif5a"
"856";"Eif5b"
"857";"Elac2"
"858";"Elane"
"859";"Elf1"
"860";"Ell2"
"861";"Eloc"
"862";"Elof1"
"863";"Elovl6"
"864";"Emb"
"865";"Emc4"
"866";"Emc7"
"867";"Emc8"
"868";"Emc9"
"869";"Eme1"
"870";"Emg1"
"871";"Emid1"
"872";"Emilin1"
"873";"Emilin2"
"874";"Emp1"
"875";"Emsy"
"876";"Endod1"
"877";"Endog"
"878";"Endou"
"879";"Eng"
"880";"Eno3"
"881";"Enpep"
"882";"Enpp1"
"883";"Enpp4"
"884";"Eomes"
"885";"Epb42"
"886";"Epcam"
"887";"Epdr1"
"888";"Ephx1"
"889";"Epn1"
"890";"Epor"
"891";"Eprs"
"892";"Eps15"
"893";"Eps8"
"894";"Epsti1"
"895";"Erc1"
"896";"Ercc6l"
"897";"Erg"
"898";"Ergic1"
"899";"Erh"
"900";"Ermap"
"901";"Erp27"
"902";"Erp29"
"903";"Errfi1"
"904";"Esco2"
"905";"Etaa1"
"906";"Etf1"
"907";"Etfb"
"908";"Ets1"
"909";"Etv6"
"910";"Evi2a"
"911";"Evi5"
"912";"Evl"
"913";"Exosc1"
"914";"Exosc2"
"915";"Exosc3"
"916";"Exosc4"
"917";"Exosc5"
"918";"Exosc7"
"919";"Exosc8"
"920";"Ext1"
"921";"Ezh2"
"922";"F10"
"923";"F13a1"
"924";"F2r"
"925";"F2rl2"
"926";"F2rl3"
"927";"Faap24"
"928";"Fabp4"
"929";"Fabp5"
"930";"Fads3"
"931";"Fahd1"
"932";"Faim2"
"933";"Fam117a"
"934";"Fam126a"
"935";"Fam136a"
"936";"Fam162a"
"937";"Fam169b"
"938";"Fam174b"
"939";"Fam189b"
"940";"Fam210b"
"941";"Fam234b"
"942";"Fam53b"
"943";"Fam83a"
"944";"Fam83d"
"945";"Fam98a"
"946";"Fancd2"
"947";"Fancl"
"948";"Far2"
"949";"Farsb"
"950";"Fas"
"951";"Fastkd2"
"952";"Fbl"
"953";"Fbp1"
"954";"Fbxl18"
"955";"Fbxo30"
"956";"Fbxo5"
"957";"Fbxw4"
"958";"Fcer1a"
"959";"Fcer1g"
"960";"Fcer2a"
"961";"Fcf1"
"962";"Fcgr1"
"963";"Fcgr2b"
"964";"Fcgr3"
"965";"Fcgr4"
"966";"Fcgrt"
"967";"Fcho1"
"968";"Fcmr"
"969";"Fcna"
"970";"Fcnb"
"971";"Fcor"
"972";"Fcrl1"
"973";"Fcrl6"
"974";"Fcrla"
"975";"Fdps"
"976";"Fech"
"977";"Fermt3"
"978";"Ffar2"
"979";"Fgd2"
"980";"Fgf3"
"981";"Fgl2"
"982";"Fh1"
"983";"Fhl1"
"984";"Fhod1"
"985";"Fibp"
"986";"Fignl1"
"987";"Filip1"
"988";"Filip1l"
"989";"Fkbp11"
"990";"Fkbp1a"
"991";"Fkbp2"
"992";"Fkbp3"
"993";"Fkbp4"
"994";"Fli1"
"995";"Flnb"
"996";"Flt3"
"997";"Fmc1"
"998";"Fmnl2"
"999";"Fn1"
"1000";"Fnbp1l"
"1001";"Fndc3a"
"1002";"Folr2"
"1003";"Fos"
"1004";"Fosb"
"1005";"Foxm1"
"1006";"Foxo1"
"1007";"Foxp1"
"1008";"Fpgs"
"1009";"Fpr1"
"1010";"Fpr2"
"1011";"Frat2"
"1012";"Frmd4a"
"1013";"Frmd4b"
"1014";"Fry"
"1015";"Fstl3"
"1016";"Fth1"
"1017";"Ftl1"
"1018";"Ftsj1"
"1019";"Ftsj3"
"1020";"Fuom"
"1021";"Fut10"
"1022";"Fut4"
"1023";"Fut7"
"1024";"Fut8"
"1025";"Fxn"
"1026";"Fxyd1"
"1027";"Fyb"
"1028";"Fyn"
"1029";"Fzr1"
"1030";"G0s2"
"1031";"G3bp1"
"1032";"G6pc3"
"1033";"Gabarapl1"
"1034";"Gadd45a"
"1035";"Gadd45b"
"1036";"Gadd45g"
"1037";"Gadd45gip1"
"1038";"Gal"
"1039";"Gal3st1"
"1040";"Galk1"
"1041";"Galm"
"1042";"Galns"
"1043";"Galnt1"
"1044";"Galnt10"
"1045";"Galnt6"
"1046";"Galnt7"
"1047";"Galnt9"
"1048";"Gamt"
"1049";"Gar1"
"1050";"Gars"
"1051";"Gart"
"1052";"Gas2l1"
"1053";"Gas7"
"1054";"Gata1"
